openTime,openTimeIso,open,high,low,close,volume
1785693600000,2026-08-02T18:00:00.000Z,63300.00000000,63328.90000000,63300.00000000,63328.90000000,33.18864000
1785693900000,2026-08-02T18:05:00.000Z,63328.90000000,63328.90000000,63292.12000000,63292.13000000,11.53400000
1785694200000,2026-08-02T18:10:00.000Z,63292.12000000,63314.00000000,63292.12000000,63312.66000000,24.69976000
1785694500000,2026-08-02T18:15:00.000Z,63312.66000000,63320.76000000,63293.06000000,63320.75000000,17.18135000
1785694800000,2026-08-02T18:20:00.000Z,63320.75000000,63327.67000000,63318.08000000,63318.08000000,28.35640000
1785695100000,2026-08-02T18:25:00.000Z,63318.08000000,63318.08000000,63290.00000000,63290.00000000,13.27022000
1785695400000,2026-08-02T18:30:00.000Z,63290.00000000,63318.99000000,63290.00000000,63317.06000000,31.10052000
1785695700000,2026-08-02T18:35:00.000Z,63317.07000000,63431.29000000,63317.06000000,63425.27000000,74.04639000
1785696000000,2026-08-02T18:40:00.000Z,63425.27000000,63610.01000000,63424.00000000,63502.01000000,155.42679000
1785696300000,2026-08-02T18:45:00.000Z,63502.01000000,63512.00000000,63412.06000000,63412.06000000,72.32678000
1785696600000,2026-08-02T18:50:00.000Z,63412.07000000,63412.07000000,63370.01000000,63388.00000000,43.78088000
1785696900000,2026-08-02T18:55:00.000Z,63388.00000000,63388.01000000,63382.00000000,63382.01000000,13.90372000
1785697200000,2026-08-02T19:00:00.000Z,63382.01000000,63389.64000000,63346.62000000,63352.49000000,39.40088000
1785697500000,2026-08-02T19:05:00.000Z,63352.48000000,63376.06000000,63352.04000000,63352.05000000,20.13212000
1785697800000,2026-08-02T19:10:00.000Z,63352.05000000,63371.74000000,63352.00000000,63358.07000000,21.35615000
1785698100000,2026-08-02T19:15:00.000Z,63358.08000000,63372.00000000,63358.00000000,63360.29000000,13.64210000
1785698400000,2026-08-02T19:20:00.000Z,63360.29000000,63373.04000000,63357.38000000,63358.88000000,13.83613000
1785698700000,2026-08-02T19:25:00.000Z,63358.88000000,63358.88000000,63333.33000000,63333.34000000,12.76331000
1785699000000,2026-08-02T19:30:00.000Z,63333.34000000,63333.67000000,63323.89000000,63333.67000000,12.38795000
1785699300000,2026-08-02T19:35:00.000Z,63333.67000000,63375.05000000,63333.66000000,63375.04000000,10.80791000
1785699600000,2026-08-02T19:40:00.000Z,63375.05000000,63394.00000000,63375.04000000,63393.99000000,13.39405000
1785699900000,2026-08-02T19:45:00.000Z,63394.00000000,63470.19000000,63393.99000000,63470.19000000,41.81780000
1785700200000,2026-08-02T19:50:00.000Z,63470.19000000,63479.85000000,63450.43000000,63456.01000000,42.75469000
1785700500000,2026-08-02T19:55:00.000Z,63456.00000000,63456.01000000,63450.00000000,63456.01000000,5.06530000
1785700800000,2026-08-02T20:00:00.000Z,63456.00000000,63470.26000000,63424.00000000,63424.00000000,16.85267000
1785701100000,2026-08-02T20:05:00.000Z,63424.00000000,63452.00000000,63422.00000000,63452.00000000,8.46025000
1785701400000,2026-08-02T20:10:00.000Z,63452.00000000,63462.00000000,63426.00000000,63462.00000000,7.81734000
1785701700000,2026-08-02T20:15:00.000Z,63462.00000000,63496.00000000,63455.74000000,63472.01000000,12.59910000
1785702000000,2026-08-02T20:20:00.000Z,63472.01000000,63477.01000000,63427.00000000,63427.01000000,12.04044000
1785702300000,2026-08-02T20:25:00.000Z,63427.00000000,63427.00000000,63404.69000000,63409.27000000,6.74538000
1785702600000,2026-08-02T20:30:00.000Z,63409.27000000,63454.12000000,63409.26000000,63454.11000000,12.32164000
1785702900000,2026-08-02T20:35:00.000Z,63454.12000000,63454.12000000,63422.47000000,63422.47000000,4.34946000
1785703200000,2026-08-02T20:40:00.000Z,63422.47000000,63431.14000000,63422.47000000,63431.14000000,8.77182000
1785703500000,2026-08-02T20:45:00.000Z,63431.14000000,63500.00000000,63414.01000000,63487.17000000,26.89578000
1785703800000,2026-08-02T20:50:00.000Z,63487.17000000,63487.17000000,63464.00000000,63472.05000000,5.87221000
